cost,publisher,university,year
0.0,Institute of Physics Publishing,Staffordshire University,2012
0.0,Institute of Physics Publishing,Stranmillis Universiity College,2012
18792.0,Institute of Physics Publishing,University of St Andrews,2012
,Institute of Physics Publishing,St George's University of London,2012
0.0,Institute of Physics Publishing,University of St Mark and St John,2012
0.0,Institute of Physics Publishing,St Mary's University College,2012
0.0,Institute of Physics Publishing,University of Stirling,2012
36577.0,Institute of Physics Publishing,University of Strathclyde,2012
0.0,Institute of Physics Publishing,University of Sunderland,2012
0.0,Institute of Physics Publishing,University of Surrey,2012
30214.0,Institute of Physics Publishing,University of Sussex,2012
7827.0,Institute of Physics Publishing,Swansea University,2012
2053.0,Institute of Physics Publishing,Teesside University,2012
0.0,Institute of Physics Publishing,Trinity Laban,2012
0.0,Institute of Physics Publishing,UCL,2012
0.0,Institute of Physics Publishing,University College Birmingham,2012
0.0,Institute of Physics Publishing,University for the Creative Arts,2012
0.0,Institute of Physics Publishing,University of the Arts London,2012
0.0,Institute of Physics Publishing,University of the Highlands and Islands,2012
90.0,Institute of Physics Publishing,University of the West of England,2012
3225.0,Institute of Physics Publishing,University of the West of Scotland,2012
6299.0,Institute of Physics Publishing,University of Ulster,2012
1578.0,Institute of Physics Publishing,University of Wales Trinity St David,2012
40770.0,Institute of Physics Publishing,University of Warwick,2012
0.0,Institute of Physics Publishing,University of West London,2012
0.0,Institute of Physics Publishing,University of Westminster,2012
0.0,Institute of Physics Publishing,University of Winchester,2012
0.0,Institute of Physics Publishing,University of Wolverhampton,2012
0.0,Institute of Physics Publishing,University of Worcester,2012
0.0,Institute of Physics Publishing,Writtle College,2012
39321.0,Institute of Physics Publishing,University of York,2012
0.0,Institute of Physics Publishing,York St John University,2012
,Institute of Physics Publishing,,2012
21219.0,Institute of Physics Publishing,University of Aberdeen,2013
0.0,Institute of Physics Publishing,Abertay University,2013
2662.0,Institute of Physics Publishing,Aberystwyth University,2013
321.0,Institute of Physics Publishing,Anglia Ruskin University,2013
0.0,Institute of Physics Publishing,Arts University Bournemouth,2013
0.0,Institute of Physics Publishing,Aston University,2013
5845.0,Institute of Physics Publishing,Bangor University,2013
20369.0,Institute of Physics Publishing,University of Bath,2013
363.0,Institute of Physics Publishing,Bath Spa University,2013
0.0,Institute of Physics Publishing,University of Bedfordshire,2013
0.0,Institute of Physics Publishing,"Birkbeck, University of London",2013
43397.0,Institute of Physics Publishing,University of Birmingham,2013
0.0,Institute of Physics Publishing,Birmingham City University,2013
0.0,Institute of Physics Publishing,Bishop Grosseteste University,2013
323.0,Institute of Physics Publishing,University of Bolton,2013
1683.0,Institute of Physics Publishing,Bournemouth University,2013
0.0,Institute of Physics Publishing,University of Bradford,2013
0.0,Institute of Physics Publishing,University of Brighton,2013
62687.0,Institute of Physics Publishing,University of Bristol,2013
10433.0,Institute of Physics Publishing,Brunel University,2013
,Institute of Physics Publishing,Buckinghamshire New University,2013
48940.0,Institute of Physics Publishing,University of Cambridge,2013
330.0,Institute of Physics Publishing,Canterbury Christ Church University,2013
11518.0,Institute of Physics Publishing,Cardiff University,2013
0.0,Institute of Physics Publishing,Cardiff Metropolitan University,2013
12494.0,Institute of Physics Publishing,University of Central Lancashire,2013
,Institute of Physics Publishing,Central School of Speech and Drama,2013
0.0,Institute of Physics Publishing,University of Chester,2013
0.0,Institute of Physics Publishing,University of Chichester,2013
8461.0,Institute of Physics Publishing,City University London,2013
0.0,Institute of Physics Publishing,Courtauld Institute of Art,2013
0.0,Institute of Physics Publishing,Coventry University,2013
9124.0,Institute of Physics Publishing,Cranfield University,2013
335.0,Institute of Physics Publishing,University of Cumbria,2013
1541.0,Institute of Physics Publishing,De Montfort University,2013
0.0,Institute of Physics Publishing,University of Derby,2013
6582.0,Institute of Physics Publishing,University of Dundee,2013
46591.0,Institute of Physics Publishing,Durham University,2013
4110.0,Institute of Physics Publishing,University of East Anglia,2013
,Institute of Physics Publishing,University of East London,2013
,Institute of Physics Publishing,Edge Hill University,2013
24179.0,Institute of Physics Publishing,University of Edinburgh,2013
0.0,Institute of Physics Publishing,Edinburgh Napier University,2013
561.0,Institute of Physics Publishing,University of Essex,2013
16318.0,Institute of Physics Publishing,University of Exeter,2013
0.0,Institute of Physics Publishing,Falmouth University,2013
37414.0,Institute of Physics Publishing,University of Glasgow,2013
5865.0,Institute of Physics Publishing,Glasgow Caledonian University,2013
0.0,Institute of Physics Publishing,University of Gloucestershire,2013
0.0,Institute of Physics Publishing,Glyndŵr University,2013
0.0,Institute of Physics Publishing,"Goldsmiths, University of London",2013
1336.0,Institute of Physics Publishing,University of Greenwich,2013
0.0,Institute of Physics Publishing,Harper Adams University,2013
20037.0,Institute of Physics Publishing,Heriot-Watt University,2013
13070.0,Institute of Physics Publishing,University of Hertfordshire,2013
0.0,Institute of Physics Publishing,Heythrop College,2013
3268.0,Institute of Physics Publishing,University of Huddersfield,2013
2965.0,Institute of Physics Publishing,University of Hull,2013
47901.0,Institute of Physics Publishing,Imperial College London,2013
2053.0,Institute of Physics Publishing,Institute of Cancer Research,2013
326.0,Institute of Physics Publishing,"Institute of Education, University of London",2013
5118.0,Institute of Physics Publishing,Keele University,2013
17707.0,Institute of Physics Publishing,University of Kent,2013
29862.0,Institute of Physics Publishing,King's College London,2013
412.0,Institute of Physics Publishing,Kingston University,2013
32709.0,Institute of Physics Publishing,Lancaster University,2013
,Institute of Physics Publishing,University of Leeds,2013
0.0,Institute of Physics Publishing,Leeds College of Art,2013
0.0,Institute of Physics Publishing,Leeds Beckett University (formerly Leeds Metropolitan University),2013
0.0,Institute of Physics Publishing,Leeds Trinity University,2013
20167.0,Institute of Physics Publishing,University of Leicester,2013
0.0,Institute of Physics Publishing,University of Lincoln,2013
43972.0,Institute of Physics Publishing,University of Liverpool,2013
0.0,Institute of Physics Publishing,Liverpool Hope University,2013
,Institute of Physics Publishing,Liverpool Institute for Performing Arts,2013
9507.0,Institute of Physics Publishing,Liverpool John Moores University,2013
0.0,Institute of Physics Publishing,University of London (central),2013
0.0,Institute of Physics Publishing,London Business School,2013
,Institute of Physics Publishing,London Metropolitan University,2013
0.0,Institute of Physics Publishing,London School of Economics,2013
0.0,Institute of Physics Publishing,London School of Hygiene and Tropical Medicine,2013
0.0,Institute of Physics Publishing,London South Bank University,2013
27177.0,Institute of Physics Publishing,Loughborough University,2013
55667.0,Institute of Physics Publishing,University of Manchester,2013
0.0,Institute of Physics Publishing,Manchester Metropolitan University,2013
0.0,Institute of Physics Publishing,Middlesex University,2013
44131.0,Institute of Physics Publishing,Newcastle University,2013
321.0,Institute of Physics Publishing,Newman University,2013
0.0,Institute of Physics Publishing,University of Northampton,2013
12433.0,Institute of Physics Publishing,Northumbria University,2013
0.0,Institute of Physics Publishing,Norwich University of the Arts,2013
53789.0,Institute of Physics Publishing,University of Nottingham,2013
2990.0,Institute of Physics Publishing,Nottingham Trent University,2013
46667.0,Institute of Physics Publishing,Open University,2013
40642.0,Institute of Physics Publishing,University of Oxford,2013
2652.0,Institute of Physics Publishing,Oxford Brookes University,2013
0.0,Institute of Physics Publishing,Plymouth University,2013
7104.0,Institute of Physics Publishing,University of Portsmouth,2013
0.0,Institute of Physics Publishing,"Queen Margaret University, Edinburgh",2013
4156.0,Institute of Physics Publishing,"Queen Mary, University of London",2013
43011.0,Institute of Physics Publishing,Queen's University Belfast,2013
0.0,Institute of Physics Publishing,Ravensbourne,2013
6670.0,Institute of Physics Publishing,University of Reading,2013
0.0,Institute of Physics Publishing,Robert Gordon University,2013
0.0,Institute of Physics Publishing,University of Roehampton,2013
,Institute of Physics Publishing,Rose Bruford College,2013
0.0,Institute of Physics Publishing,Royal Academy of Music,2013
0.0,Institute of Physics Publishing,Royal Agricultural University,2013
0.0,Institute of Physics Publishing,Royal College of Art,2013
,Institute of Physics Publishing,Royal College of Music,2013
0.0,Institute of Physics Publishing,Royal Conservatoire of Scotland,2013
25450.0,Institute of Physics Publishing,"Royal Holloway, University of London",2013
0.0,Institute of Physics Publishing,Royal Northern College of Music,2013
0.0,Institute of Physics Publishing,Royal Veterinary College,2013
15774.0,Institute of Physics Publishing,University of Salford,2013
0.0,Institute of Physics Publishing,School of Oriental and African Studies,2013
21968.0,Institute of Physics Publishing,University of Sheffield,2013
10128.0,Institute of Physics Publishing,Sheffield Hallam University,2013
0.0,Institute of Physics Publishing,University of South Wales,2013
,Institute of Physics Publishing,University of Southampton,2013
0.0,Institute of Physics Publishing,Southampton Solent University,2013
0.0,Institute of Physics Publishing,Staffordshire University,2013
0.0,Institute of Physics Publishing,Stranmillis Universiity College,2013
19244.0,Institute of Physics Publishing,University of St Andrews,2013
,Institute of Physics Publishing,St George's University of London,2013
0.0,Institute of Physics Publishing,University of St Mark and St John,2013
719.0,Institute of Physics Publishing,St Mary's University College,2013
0.0,Institute of Physics Publishing,University of Stirling,2013
40152.0,Institute of Physics Publishing,University of Strathclyde,2013
0.0,Institute of Physics Publishing,University of Sunderland,2013
0.0,Institute of Physics Publishing,University of Surrey,2013
34296.0,Institute of Physics Publishing,University of Sussex,2013
8091.0,Institute of Physics Publishing,Swansea University,2013
2112.0,Institute of Physics Publishing,Teesside University,2013
0.0,Institute of Physics Publishing,Trinity Laban,2013
